XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
350034.1499,2013544.214,1,2,1,1412.662848
350034.1499,2013544.214,1,3,2,1693.862194
349222.8837,2012776.377,2,1,1,1412.662848
350247.6842,2014891.54,3,1,2,1693.862194
350247.6842,2014891.54,3,11,6,1721.589004
350247.6842,2014891.54,3,32,16,7253.692636
352809.6434,2015891.469,5,6,3,3.97505
352812.3285,2015888.538,6,5,3,3.97505
352812.3285,2015888.538,6,11,7,3073.94093
352812.3285,2015888.538,6,9,11,2270.448253
362607.6784,2016117.712,7,8,4,129.391782
362585.7793,2016122.472,8,7,4,129.391782
354212.9631,2016234.978,9,10,5,2844.036062
354212.9631,2016234.978,9,18,9,222.198724
354212.9631,2016234.978,9,6,11,2270.448253
356003.0479,2015548.818,10,9,5,2844.036062
350591.1692,2016304.313,11,3,6,1721.589004
350591.1692,2016304.313,11,6,7,3073.94093
350591.1692,2016304.313,11,19,10,163.507614
362568.6166,2016126.203,15,16,8,360.151736
362688.2505,2016361.913,16,15,8,360.151736
354246.8378,2016438.845,18,9,9,222.198724
350661.4321,2016446.682,19,11,10,163.507614
350661.4321,2016446.682,19,26,13,3755.181578
350661.4321,2016446.682,19,28,15,3066.695526
378776.7118,2018273.41,23,24,12,18.680333
378771.3004,2018288.031,24,23,12,18.680333
348360.1134,2018486.504,26,19,13,3755.181578
348360.1134,2018486.504,26,34,17,1143.1227
348360.1134,2018486.504,26,36,18,4134.787068
350681.4194,2018804.653,27,28,14,492.150699
350982.0486,2018914.811,28,27,14,492.150699
350982.0486,2018914.811,28,19,15,3066.695526
350982.0486,2018914.811,28,57,29,5671.658709
345192.7817,2018947.672,32,3,16,7253.692636
345192.7817,2018947.672,32,38,19,2056.633091
348738.8933,2019137.984,34,26,17,1143.1227
346306.1552,2019849.654,36,26,18,4134.787068
343920.6989,2020141.348,38,32,19,2056.633091
374546.8424,2020146.904,39,40,20,3871.465559
370948.9841,2020929.234,40,39,20,3871.465559
370948.9841,2020929.234,40,42,22,1096.509586
370948.9841,2020929.234,40,45,23,110.237672
369928.4204,2020823.247,41,42,21,154.027776
369900.0549,2020973.92,42,41,21,154.027776
369900.0549,2020973.92,42,40,22,1096.509586
369900.0549,2020973.92,42,48,25,1616.159548
370971.1144,2021037.227,45,40,23,110.237672
370971.1144,2021037.227,45,51,26,975.947724
368333.9443,2021204.98,47,48,24,183.885362
368436.5508,2021357.564,48,47,24,183.885362
368436.5508,2021357.564,48,42,25,1616.159548
368436.5508,2021357.564,48,54,28,1999.210304
371094.7585,2021751.792,51,45,26,975.947724
371094.7585,2021751.792,51,70,35,2464.195149
371094.7585,2021751.792,51,103,52,2389.942811
366816.2393,2021938.615,53,54,27,228.123255
366892.3368,2022122.781,54,53,27,228.123255
366892.3368,2022122.781,54,48,28,1999.210304
366892.3368,2022122.781,54,62,31,2526.98404
353247.8208,2023079.008,57,28,29,5671.658709
353247.8208,2023079.008,57,85,43,3003.997788
353247.8208,2023079.008,57,85,51,2017.125981
355728.3458,2023050.945,59,60,30,667.137339
355728.3458,2023050.945,59,63,32,873.6613
356016.1842,2023134.874,60,59,30,667.137339
356016.1842,2023134.874,60,65,33,258.195349
356016.1842,2023134.874,60,74,37,394.944264
364937.3458,2023203.006,62,54,31,2526.98404
364937.3458,2023203.006,62,71,36,193.177021
364937.3458,2023203.006,62,78,40,902.652553
355225.9482,2023244.211,63,59,32,873.6613
356163.3143,2023342.458,65,60,33,258.195349
356163.3143,2023342.458,65,67,34,320.846304
356163.3143,2023342.458,65,81,41,367.383596
356409.5033,2023164.867,67,65,34,320.846304
372563.7437,2023365.569,70,51,35,2464.195149
372563.7437,2023365.569,70,103,53,2882.55595
372563.7437,2023365.569,70,145,73,2402.006312
364977.6116,2023388.766,71,62,36,193.177021
355850.3701,2023466.178,74,60,37,394.944264
355850.3701,2023466.178,74,84,42,475.037752
355850.3701,2023466.178,74,91,46,251.414287
351358.9505,2023622.542,75,76,38,1340.086419
351358.9505,2023622.542,75,98,50,176.317854
351358.9505,2023622.542,75,109,55,1874.747888
350300.2893,2023272.79,76,75,38,1340.086419
350300.2893,2023272.79,76,98,49,1826.553048
364117.0047,2023420.175,77,78,39,213.697702
364169.0391,2023626.27,78,77,39,213.697702
364169.0391,2023626.27,78,62,40,902.652553
364169.0391,2023626.27,78,114,57,1354.384224
356284.9542,2023665.031,81,65,41,367.383596
356284.9542,2023665.031,81,91,47,479.565021
356284.9542,2023665.031,81,119,60,762.656613
355527.3024,2023650.616,84,74,42,475.037752
355527.3024,2023650.616,84,88,44,120.912157
355527.3024,2023650.616,84,85,45,884.128689
354803.246,2023688.558,85,57,43,3003.997788
354803.246,2023688.558,85,84,45,884.128689
354803.246,2023688.558,85,57,51,2017.125981
355640.4618,2023689.19,88,84,44,120.912157
355640.4618,2023689.19,88,91,48,207.1091
355640.4618,2023689.19,88,112,56,838.703466
355835.6843,2023707.739,91,74,46,251.414287
355835.6843,2023707.739,91,81,47,479.565021
355835.6843,2023707.739,91,88,48,207.1091
355835.6843,2023707.739,91,107,54,168.20666
351236.2033,2023729.391,98,76,49,1826.553048
351236.2033,2023729.391,98,75,50,176.317854
